Last Run: 08.27.2026

====================================================================================================
AlphaOmega OneDrive File Format Inventory
====================================================================================================

READ-ONLY ANALYSIS
No file content will be retrieved.
No AlphaOmega database writes will occur.

Enumerating complete OneDrive...
PASS: Production OneDrive Connector enumeration completed.

Building format inventory...

====================================================================================================
ONEDRIVE FILE FORMAT INVENTORY
====================================================================================================

CONTAINER objects : 6505
CONTENT objects   : 78516
Unique extensions : 264

----------------------------------------------------------------------------------------------------
EXTENSION                COUNT   ALPHAOMEGA EXTRACTION
----------------------------------------------------------------------------------------------------
.jpg                     35358   UNSUPPORTED
.png                      8623   UNSUPPORTED
.stl                      4110   UNSUPPORTED
.mp3                      4048   UNSUPPORTED
.mca                      2631   UNSUPPORTED
.pdf                      2164   SUPPORTED
.bin                      1707   UNSUPPORTED
.scache                   1698   UNSUPPORTED
.wma                      1630   UNSUPPORTED
.blend                    1387   UNSUPPORTED
.snagx                    1031   UNSUPPORTED
.xml                       890   SUPPORTED
.json                      887   SUPPORTED
.mp4                       688   UNSUPPORTED
.txt                       641   SUPPORTED
.doc                       584   UNSUPPORTED
.tif                       579   UNSUPPORTED
.timber                    577   UNSUPPORTED
[NO EXTENSION]             576   UNSUPPORTED
.exe                       487   UNSUPPORTED
.py                        477   UNSUPPORTED
.avi                       476   UNSUPPORTED
.jpeg                      401   UNSUPPORTED
.zip                       332   UNSUPPORTED
.docx                      318   SUPPORTED
.gif                       314   UNSUPPORTED
.lyt                       314   UNSUPPORTED
.cs                        255   UNSUPPORTED
.one                       209   UNSUPPORTED
.gz                        190   UNSUPPORTED
.tsv                       164   UNSUPPORTED
.mpg                       132   UNSUPPORTED
.url                       132   UNSUPPORTED
.mix                       125   UNSUPPORTED
.ttf                       124   UNSUPPORTED
.mov                       123   UNSUPPORTED
.por                       123   UNSUPPORTED
.log                       115   UNSUPPORTED
.mod                       115   UNSUPPORTED
.ini                       114   UNSUPPORTED
.ppt                       113   UNSUPPORTED
.xls                       112   UNSUPPORTED
.dat                       108   UNSUPPORTED
.pdb                       106   UNSUPPORTED
.htm                       102   SUPPORTED
.obj                       100   UNSUPPORTED
.itc2                       98   UNSUPPORTED
.pyc                        94   UNSUPPORTED
.html                       90   SUPPORTED
.xlsx                       88   SUPPORTED
.civ5save                   83   UNSUPPORTED
.prt                        82   UNSUPPORTED
.blend1                     81   UNSUPPORTED
.lua                        80   UNSUPPORTED
.jar                        78   UNSUPPORTED
.cache                      76   UNSUPPORTED
.swf                        76   UNSUPPORTED
.toml                       73   UNSUPPORTED
.resx                       62   UNSUPPORTED
.ind                        61   UNSUPPORTED
.ogg                        55   UNSUPPORTED
.wav                        55   UNSUPPORTED
.mcmeta                     51   UNSUPPORTED
.lys                        48   UNSUPPORTED
.resources                  48   UNSUPPORTED
.bak                        45   UNSUPPORTED
.csproj                     45   UNSUPPORTED
.sln                        44   UNSUPPORTED
.suo                        43   UNSUPPORTED
.onetoc2                    42   UNSUPPORTED
.sav                        42   UNSUPPORTED
.thm                        42   UNSUPPORTED
.bmp                        40   UNSUPPORTED
.m4a                        40   UNSUPPORTED
.csv                        39   SUPPORTED
.kdf                        36   UNSUPPORTED
.bat                        35   UNSUPPORTED
.chitubox                   35   UNSUPPORTED
.manifest                   35   UNSUPPORTED
.inf                        33   UNSUPPORTED
.dll                        32   UNSUPPORTED
.css                        31   UNSUPPORTED
.tlog                       30   UNSUPPORTED
.js                         28   UNSUPPORTED
